zone	zone_sqm	hholds	persons	adults	ffamcu6	ffamc6p	famnoc	fnonfam	fage017	fage1834	fage3549	fage5064	fage6579	fage80up	fwhite	fblack	fhisp	asian	fothrc	f0veh	fwathome	femployed	fincu25	finc2550	finc5075	finc75100	finc100150	finc150200	finco200	state	popden	empden	enteden	fracwater	fracprotl	coast	elevation	avgtemp1	maxtemp1	mintemp1	avgprec1	avgtemp2	maxtemp2	mintemp2	avgprec2	avgtemp3	maxtemp3	mintemp3	avgprec3	avgtemp4	maxtemp4	mintemp4	avgprec4
1	42.28	38523	92467	72694	0.112997	0.143992	0.297459	0.445552	0.213838	0.238766	0.16979	0.207631	0.130987	0.038987	0.047193	0.919529	0.023311	0.001532	0.021312	0.156011	0.021545	0.4859	0.404979	0.2952	0.160813	0.065857	0.051709	0.014693	0.006749	1	2261.699951	678.599976	30.1	0	0	0	163.6	50.1	61.1	39.1	132.8	71.7	83	60.3	118.9	79.7	90	69.3	105.9	55.9	67.2	44.6	104.2
2	52.24	44303	104587	84586	0.099452	0.114778	0.268063	0.517708	0.191238	0.296863	0.175117	0.192615	0.103732	0.040435	0.411913	0.529851	0.030269	0.015484	0.027109	0.154933	0.028823	0.555364	0.367108	0.231564	0.152721	0.093696	0.089858	0.024987	0.040065	1	2071.100098	2329.600098	176.899994	0	0	0	187.5	50.1	60.5	39.7	133.8	71.9	82.6	61.2	124.4	79.8	89.5	70.1	113.4	55.9	66.7	45.1	104
3	453.48	67447	177685	132829	0.13796	0.199846	0.372085	0.290109	0.252447	0.198492	0.189763	0.203923	0.120455	0.034921	0.619271	0.343662	0.021187	0.004997	0.022358	0.038964	0.025031	0.594607	0.19439	0.231589	0.18453	0.147242	0.160571	0.048912	0.032766	1	391.200012	101.099999	14.6	0	0	0	186.3	49.9	60.4	39.4	134.1	71.7	82.5	60.9	124.2	79.6	89.4	69.9	113	55.7	66.6	44.8	104.6
4	426.91	42676	112508	88202	0.122856	0.178156	0.377003	0.321984	0.216038	0.213834	0.19412	0.21266	0.124338	0.039011	0.530345	0.426399	0.016496	0.010732	0.023198	0.058558	0.02995	0.569341	0.209111	0.238963	0.191138	0.123559	0.149077	0.057433	0.03072	1	263.899994	88.199997	7.9	0	0	0	134.9	50.1	61.8	38.5	132.6	71.4	83.5	59.3	113	79.5	90.6	68.5	98.8	55.8	67.6	44	105.1
5	9.96	477	4074	3772	0.060797	0.24109	0.324948	0.373166	0.074129	0.491163	0.238341	0.14163	0.041973	0.012764	0.023061	0.960168	0	0	0.016771	0.148847	0	0.102333	0.362683	0.467505	0.134172	0	0.012579	0.023061	0	1	686.599976	1102.699951	13.2	0.5	0.3	1	7.9	57.3	67.3	47.2	107.7	75.8	85.1	66.6	124.1	83	91.4	74.6	163.3	62.7	73	52.4	111.3
6	56.9	45609	107381	85350	0.096034	0.138109	0.315771	0.450087	0.205167	0.262383	0.179045	0.181755	0.128524	0.043127	0.554693	0.372141	0.028547	0.024315	0.028766	0.072464	0.048632	0.578453	0.279791	0.243132	0.172137	0.11353	0.109956	0.036923	0.044531	1	2001	953.599976	127.199997	0	0	1	53.8	56.2	67	45.5	113.4	74.5	84.8	64.2	145.4	81.2	90.2	72.3	169.8	61.1	72	50.3	119.3
7	136.35	68282	172433	130192	0.143186	0.174307	0.330717	0.351791	0.244971	0.242657	0.198663	0.168703	0.10462	0.040387	0.76168	0.162356	0.032395	0.029656	0.027914	0.032	0.052989	0.681432	0.125846	0.177353	0.155883	0.123561	0.166706	0.097434	0.153218	1	1278.800049	982.700012	126.699997	0	0	0	174.4	50.1	60.7	39.5	134.7	71.9	83	60.8	121.3	79.9	89.9	69.8	112.7	55.7	66.7	44.8	105.1
8	1111.18	69927	201667	150365	0.158808	0.206758	0.388605	0.245828	0.25439	0.205834	0.187557	0.201684	0.120079	0.030456	0.767744	0.158265	0.025999	0.018076	0.040271	0.04346	0.045797	0.555748	0.216497	0.227251	0.204485	0.129149	0.138959	0.051554	0.032105	1	192.399994	52.5	4.9	0.3	0.1	1	53.1	56.2	66.8	45.7	114.5	74.5	84.5	64.4	146.7	81.2	90	72.5	170.9	61.2	71.9	50.5	119.6
9	18.05	42193	116462	86185	0.168061	0.165667	0.260019	0.406252	0.259973	0.316034	0.188774	0.149499	0.069594	0.016125	0.53106	0.064916	0.322257	0.03074	0.130733	0.098049	0.040191	0.686221	0.247908	0.301638	0.193089	0.104733	0.101415	0.025691	0.025526	4	6497.5	3435.100098	329.399994	0	0	0	355.7	58.7	75.5	41.8	19.7	77.7	95.8	59.6	4.1	89	103.9	74.1	29.1	63.6	80.2	47	16.7
10	20.9	43780	112012	88376	0.134742	0.114984	0.350594	0.39968	0.211013	0.234591	0.158965	0.164223	0.169473	0.061734	0.722293	0.039607	0.197693	0.013659	0.075491	0.073116	0.05737	0.562902	0.213088	0.286455	0.209982	0.11704	0.117565	0.036478	0.019392	4	5491.899902	1669.900024	293.799988	0	0	0	441.6	58.2	73.1	43.4	25.1	78.7	95.3	62	4.7	90.1	103.9	76.3	31.6	63.7	78.3	49.2	19.3
11	36.98	45994	139984	101286	0.163456	0.244641	0.347741	0.244162	0.276446	0.228533	0.219568	0.181192	0.074359	0.019902	0.754577	0.031221	0.135996	0.050485	0.061269	0.017654	0.076358	0.710108	0.076532	0.146258	0.179132	0.150715	0.238922	0.104209	0.104231	4	3871	1512.300049	233.300003	0	0	0	432	58.3	73.4	43.2	24.5	78.6	95.4	61.7	4.7	90	103.9	76.1	31.3	63.7	78.5	48.9	19.1
12	22.9	42815	116024	88936	0.142403	0.188906	0.306154	0.362536	0.233469	0.270272	0.195589	0.196821	0.081992	0.021858	0.611445	0.069929	0.216746	0.069812	0.082705	0.053533	0.052287	0.698041	0.137779	0.225809	0.196193	0.145066	0.184842	0.065047	0.045265	4	5178.100098	2297.899902	191.199997	0	0	0	355.7	58.7	75.5	41.8	19.7	77.7	95.8	59.6	4.1	89	103.9	74.1	29.1	63.6	80.2	47	16.7
13	40.73	43087	113717	86333	0.119642	0.210992	0.389305	0.280061	0.240808	0.149828	0.224443	0.17227	0.160724	0.051927	0.758465	0.033026	0.08274	0.10567	0.0366	0.023557	0.102061	0.600257	0.091559	0.137512	0.152482	0.13178	0.196533	0.130619	0.159514	4	2746.800049	1063	101.800003	0	0	0	368.8	58.6	75.1	42	20.5	77.8	95.7	60	4.2	89.2	103.9	74.4	29.5	63.6	79.9	47.3	17.1
14	27.29	42842	113340	89395	0.117291	0.175062	0.35729	0.350357	0.211267	0.273099	0.20015	0.200618	0.094653	0.020214	0.625905	0.067574	0.185869	0.085734	0.102983	0.044232	0.052714	0.695621	0.118062	0.164932	0.182625	0.149293	0.18762	0.105201	0.092269	4	4180.600098	3171	344.700012	0	0	0	355.7	58.7	75.5	41.8	19.7	77.7	95.8	59.6	4.1	89	103.9	74.1	29.1	63.6	80.2	47	16.7
15	24.34	45836	118550	103854	0.081988	0.080941	0.233855	0.603216	0.123965	0.540844	0.132881	0.11294	0.065517	0.023855	0.623331	0.063356	0.181669	0.086111	0.126298	0.127934	0.042924	0.639321	0.276093	0.243542	0.177873	0.119339	0.112946	0.04143	0.028777	4	5599.299805	8120.200195	658.5	0	0.1	0	354.7	58.8	75.4	42.2	19.5	78	95.8	60.2	4	89.2	103.9	74.6	28.7	63.8	80.1	47.5	16.6
16	47.05	63734	136390	116569	0.069021	0.092243	0.324866	0.51387	0.145326	0.254234	0.176992	0.202596	0.155789	0.065063	0.825289	0.01864	0.105517	0.029874	0.044199	0.050758	0.116595	0.641877	0.14959	0.176484	0.157875	0.127718	0.167634	0.079785	0.140914	4	2992.699951	2941.800049	499	0	0	0	387.3	58.9	73.9	43.8	20.3	78.6	94.8	62.5	4	89.8	103.3	76.4	26.4	63.9	78.8	49.1	17.6
17	1274.54	51785	115438	96880	0.065811	0.130868	0.425181	0.37814	0.160762	0.14348	0.165977	0.257835	0.216497	0.05545	0.868109	0.009733	0.04061	0.042561	0.049088	0.037192	0.136211	0.554635	0.119282	0.157613	0.139944	0.12913	0.171613	0.092672	0.189746	4	512.700012	271.5	33.5	0	0.8	0	481.4	58.8	70.7	46.9	22.4	79.6	92.4	67	3.9	90.6	101.5	79.7	22.3	64.1	75.9	52.5	20.4
18	235.01	52679	127096	101752	0.081304	0.171302	0.451793	0.295602	0.199408	0.121593	0.188023	0.244626	0.194286	0.052063	0.894778	0.011029	0.043547	0.036656	0.02202	0.019059	0.146	0.574456	0.081816	0.125591	0.119744	0.112834	0.197004	0.119991	0.243019	4	609.5	237.199997	56.700001	0	0.1	0	642.1	57.5	69.4	45.7	27.1	77.5	91.1	63.9	4.3	88.6	100.6	76.7	23.8	63.3	74.8	51.8	23.6
19	33.04	44166	108710	87261	0.107164	0.155278	0.369719	0.36784	0.197305	0.201269	0.196293	0.222114	0.141312	0.041707	0.81008	0.020287	0.083752	0.066182	0.031676	0.02837	0.103402	0.65311	0.116538	0.180795	0.166531	0.142915	0.180456	0.093149	0.119617	4	3997.699951	1751.099976	227	0	0.2	0	441.3	59.2	71.1	47.2	21.2	80.3	93.1	67.6	3.7	91.3	102.2	80.5	21.8	64.5	76.3	52.8	19.2
20	24.03	46386	113384	90006	0.122063	0.133596	0.31322	0.431121	0.206184	0.235906	0.204191	0.200584	0.119629	0.033506	0.711055	0.03057	0.196331	0.028543	0.077523	0.059285	0.07089	0.662167	0.196266	0.235502	0.18027	0.140215	0.137692	0.053745	0.05631	4	5661.600098	1265.900024	212.300003	0	0.2	0	439.3	58.6	70.4	46.8	21	79.1	92.5	65.7	3.7	90.6	101.7	79.5	21.7	64.1	75.5	52.7	19
21	21.91	42436	109867	84395	0.143039	0.15977	0.278608	0.418583	0.231844	0.271301	0.188883	0.180309	0.09669	0.030974	0.665779	0.048355	0.214888	0.039754	0.082854	0.076468	0.059999	0.634919	0.222783	0.265788	0.189509	0.12824	0.117754	0.037963	0.037963	4	5968.600098	3574.5	220.399994	0	0.2	0	443.5	58.4	70.2	46.6	21.2	78.8	92.3	65.3	3.8	90.4	101.6	79.3	21.7	63.9	75.3	52.6	19.2
22	17.19	47277	114077	86584	0.135224	0.142712	0.228927	0.493136	0.241004	0.251804	0.210735	0.167825	0.097276	0.031356	0.563932	0.093238	0.258265	0.032489	0.124395	0.143114	0.054444	0.638952	0.272183	0.246632	0.16471	0.092455	0.1087	0.046725	0.068596	4	6602.5	3672.5	282.5	0	0	0	356.7	60.8	72.3	49.2	16.9	82.1	94.8	69.4	2.6	92.8	103.7	81.9	22.1	66.1	77.4	54.8	15.2
23	23.91	45370	107852	84633	0.122195	0.141239	0.241018	0.495548	0.215286	0.280579	0.211883	0.177187	0.086229	0.028836	0.625854	0.058585	0.260833	0.020785	0.103394	0.102513	0.064156	0.69506	0.195173	0.260613	0.163831	0.104761	0.123804	0.055521	0.096297	4	4987.299805	4013.5	511.399994	0	0.1	0	338.4	61.2	72.9	49.4	16.1	82.5	95.3	69.7	2.4	93.1	104.2	82.1	22.6	66.4	78	54.9	14.4
24	21.45	34162	82943	65077	0.112845	0.121831	0.195451	0.569873	0.215401	0.312504	0.196243	0.175446	0.080477	0.019929	0.495843	0.086792	0.343715	0.039283	0.148118	0.177712	0.068103	0.634264	0.315731	0.253118	0.158568	0.099584	0.088432	0.041889	0.042679	4	3950.399902	10818.7998	990.200012	0	0	0	337.4	61.3	72.8	49.8	15.9	82.8	95.3	70.3	2.3	93.3	104.2	82.5	22.2	66.6	77.9	55.3	14.3
25	30.66	32874	116487	83601	0.225832	0.209527	0.295674	0.268966	0.282315	0.280692	0.201413	0.153245	0.066505	0.01583	0.202561	0.193101	0.548123	0.023849	0.158514	0.103151	0.03668	0.587637	0.24095	0.263886	0.192553	0.131472	0.119578	0.027043	0.024518	4	3881.399902	1460.900024	53.200001	0	0	0	337.4	61.3	72.8	49.8	15.9	82.8	95.3	70.3	2.3	93.3	104.2	82.5	22.2	66.6	77.9	55.3	14.3
26	55.06	41237	110477	83625	0.128453	0.209254	0.347164	0.31513	0.243055	0.218507	0.206803	0.212044	0.093567	0.026024	0.649805	0.075466	0.179936	0.052113	0.091762	0.035793	0.078941	0.693333	0.096176	0.16604	0.171933	0.134442	0.19628	0.099207	0.135922	4	3667.300049	935.5	139.699997	0	0.5	0	337.4	61.3	72.8	49.8	15.9	82.8	95.3	70.3	2.3	93.3	104.2	82.5	22.2	66.6	77.9	55.3	14.3
27	63.25	40371	154784	103000	0.278814	0.267791	0.262862	0.190533	0.334557	0.275623	0.206778	0.125963	0.047059	0.01002	0.217706	0.121845	0.605311	0.034753	0.135716	0.035347	0.031841	0.665621	0.1644	0.238934	0.216542	0.151544	0.152436	0.048426	0.027718	4	2421.899902	1312.400024	68.900002	0	0	0	327.8	60.4	72.5	48.3	17.1	81.8	95.3	68.3	2.4	92.4	103.9	80.9	23.6	65.3	77	53.5	15.4
28	14.23	29880	116592	78286	0.236345	0.280756	0.216466	0.266432	0.328547	0.271742	0.200125	0.131476	0.052817	0.015293	0.157798	0.077242	0.713789	0.01988	0.223494	0.134906	0.025024	0.600299	0.31593	0.320382	0.17828	0.094846	0.074331	0.01091	0.005321	4	8090.200195	3106	174.800003	0	0	0	339.1	60.6	72.4	48.8	17.1	82.1	95	69.1	2.4	92.7	103.9	81.6	23.2	65.8	77.3	54.2	14.9
29	16.08	33782	134551	89806	0.286247	0.286277	0.251643	0.175833	0.33255	0.287348	0.192633	0.129044	0.046926	0.011497	0.18794	0.081493	0.692706	0.022408	0.34172	0.048872	0.023828	0.640692	0.196791	0.325144	0.232491	0.120271	0.091676	0.019004	0.014623	4	8617.299805	1083.699951	209.800003	0	0	0	324.4	59	71.8	46.2	19.2	80.3	94.9	65.7	2.6	91.1	103.3	78.8	25.6	63.4	75.8	51.1	16.9
30	26.04	35844	115958	80618	0.210077	0.214792	0.246457	0.328674	0.304766	0.258059	0.195933	0.157316	0.069232	0.014695	0.372224	0.101579	0.466298	0.034092	0.116784	0.11179	0.031232	0.610037	0.285097	0.273798	0.179919	0.103755	0.099208	0.041513	0.016711	4	4482	1291	215.600006	0	0	0	345.9	57.7	70.8	44.7	21.6	79.2	93.9	64.5	3	90.3	102.6	78	27.2	62.4	75.1	49.8	17.3
31	15.94	37502	115181	84850	0.181137	0.208682	0.285185	0.324996	0.263333	0.267726	0.190795	0.169941	0.086134	0.02207	0.521386	0.078502	0.335342	0.034558	0.103728	0.092528	0.049477	0.611467	0.255133	0.264599	0.207696	0.127327	0.102235	0.024879	0.018132	4	7165.299805	1381.300049	284.600006	0	0	0	405.7	58.9	70.8	46.9	20.2	79.7	93.2	66.2	3.4	91	102.3	79.7	22.7	64.2	75.8	52.7	17.9
32	32	46319	129301	102386	0.131501	0.164447	0.370885	0.333168	0.208158	0.245946	0.184693	0.2118	0.113209	0.036195	0.732939	0.050627	0.141583	0.045014	0.063538	0.061638	0.063731	0.622204	0.170276	0.205445	0.185475	0.142641	0.179883	0.065006	0.051275	4	4790.799805	1575.699951	200.100006	0	0.1	0	365.3	57.8	70.7	45.1	21.5	79.1	93.6	64.7	3.2	90.3	102.4	78.3	26.1	62.7	75.1	50.4	17.7
33	28.39	40421	114061	87295	0.144108	0.187601	0.365404	0.302887	0.234664	0.226317	0.185673	0.200156	0.112571	0.040619	0.728136	0.033572	0.185374	0.033844	0.068306	0.044754	0.056697	0.621903	0.148735	0.216472	0.193142	0.16197	0.177259	0.062542	0.03988	4	4070.699951	1076.199951	282	0	0	0	345.9	57.7	70.8	44.7	21.6	79.2	93.9	64.5	3	90.3	102.6	78	27.2	62.4	75.1	49.8	17.3
34	28.94	39342	109607	84350	0.13253	0.19666	0.372553	0.298256	0.230432	0.222103	0.21432	0.203801	0.106891	0.022453	0.780972	0.026816	0.114992	0.05442	0.047151	0.029536	0.065506	0.660581	0.122998	0.18723	0.199532	0.154898	0.18418	0.076076	0.075085	4	3899.899902	924.200012	128.399994	0	0.1	0	443.5	58.4	70.2	46.6	21.2	78.8	92.3	65.3	3.8	90.4	101.6	79.3	21.7	63.9	75.3	52.6	19.2
35	252.39	44679	125215	94074	0.144184	0.203429	0.387139	0.265248	0.2487	0.184658	0.227153	0.197221	0.116104	0.026163	0.830703	0.024172	0.072517	0.055462	0.035341	0.017749	0.104439	0.649978	0.079456	0.154234	0.157367	0.137649	0.233085	0.119385	0.118825	4	578	305.799988	18.700001	0	0.2	0	431.9	58.3	70.5	46	22.4	78.8	92.8	64.9	3.6	90.3	101.9	78.7	24	63.6	75.5	51.8	19.3
36	44.01	58633	122794	107096	0.054014	0.069449	0.447086	0.429451	0.12784	0.120926	0.100062	0.154731	0.321359	0.175082	0.831034	0.030171	0.120581	0.010046	0.037249	0.06278	0.068951	0.326772	0.225095	0.297648	0.212747	0.12933	0.096908	0.023076	0.015196	4	2796.800049	531	61.900002	0	0	0	345.9	57.7	70.8	44.7	21.6	79.2	93.9	64.5	3	90.3	102.6	78	27.2	62.4	75.1	49.8	17.3
37	38.21	42475	119011	89620	0.117716	0.208287	0.433832	0.240165	0.24696	0.171388	0.199057	0.15223	0.183689	0.046676	0.791148	0.055798	0.115315	0.023991	0.035056	0.021848	0.075152	0.538819	0.098222	0.207628	0.22279	0.175656	0.191572	0.062861	0.041271	4	3084.5	433.899994	94.400002	0	0	0	345.9	57.7	70.8	44.7	21.6	79.2	93.9	64.5	3	90.3	102.6	78	27.2	62.4	75.1	49.8	17.3
38	142.09	39429	128764	94678	0.158614	0.248193	0.390652	0.202541	0.264717	0.200763	0.222772	0.174179	0.11497	0.022599	0.670801	0.064065	0.20627	0.037916	0.068401	0.020898	0.094075	0.59527	0.086282	0.161784	0.17444	0.159274	0.235791	0.099318	0.083111	4	998.299988	198.699997	44.799999	0	0.1	0	317	59.4	72.1	46.7	18.4	80.7	95.2	66.1	2.5	91.4	103.6	79.1	25.1	63.8	76	51.5	16.7
39	38.95	36952	119883	84780	0.205293	0.25	0.301418	0.243289	0.292811	0.261105	0.204107	0.154492	0.06961	0.017876	0.423252	0.098506	0.423116	0.031446	0.134093	0.044301	0.050808	0.675336	0.142996	0.222478	0.224832	0.158855	0.154254	0.063109	0.033476	4	3099.899902	481.200012	79.800003	0	0	0	317	59.4	72.1	46.7	18.4	80.7	95.2	66.1	2.5	91.4	103.6	79.1	25.1	63.8	76	51.5	16.7
40	6274.82	43800	141798	105136	0.162991	0.213653	0.401895	0.221461	0.258551	0.214418	0.199735	0.17216	0.130897	0.024239	0.692215	0.049041	0.209406	0.018105	0.086575	0.031301	0.074412	0.540814	0.13911	0.188059	0.221393	0.160228	0.175388	0.062671	0.053151	4	39.700001	7.4	1.2	0	0.5	0	358.3	58.4	71.8	45	20.3	79.5	94.6	64.4	2.7	90.8	103.5	78	25.3	63.3	76.3	50.2	17
41	7073.61	35755	103021	76045	0.148902	0.196364	0.376199	0.278534	0.26185	0.217451	0.16022	0.172246	0.148271	0.039963	0.412082	0.013033	0.464942	0.009537	0.321494	0.058397	0.045114	0.507476	0.232163	0.271291	0.206908	0.136401	0.102643	0.030765	0.019829	4	20.9	2.6	0.9	0	0.1	0	908	56.2	69.7	42.7	17.1	75.7	90.7	60.8	5.5	84.3	96.3	72.2	52.7	61.7	75	48.4	17.4
42	320.54	48913	127518	100034	0.129741	0.145749	0.399771	0.32474	0.21553	0.222996	0.178783	0.187401	0.157037	0.038253	0.588473	0.021978	0.331119	0.033611	0.122851	0.052317	0.061256	0.561219	0.180586	0.215996	0.197494	0.130804	0.173103	0.064339	0.037679	4	547.5	140.399994	19.5	0	0.3	0	795.8	56.4	70.9	42	17.5	76.2	92.5	59.9	5.6	85.3	98.4	72.3	49.9	62.2	76.4	47.9	18.8
43	203.82	48783	116903	94441	0.099891	0.141873	0.423877	0.334358	0.192142	0.198139	0.164051	0.203442	0.183178	0.059049	0.761372	0.01808	0.174856	0.022426	0.065351	0.03452	0.064069	0.551995	0.121436	0.217883	0.193141	0.15036	0.17461	0.074104	0.068466	4	1404.900024	314.399994	64.900002	0	0.6	0	825.1	52	70.8	33.3	22.5	71.7	91.9	51.5	6.1	82.6	97.9	67.4	59.9	58.2	76.8	39.7	21.7
44	346.3	49082	108945	91280	0.07351	0.128601	0.40795	0.389939	0.162146	0.181679	0.15014	0.226279	0.209574	0.070182	0.799458	0.016177	0.116193	0.043397	0.051913	0.046901	0.089026	0.544895	0.145308	0.180086	0.159081	0.117884	0.158164	0.091867	0.14761	4	398.299988	114.699997	28.299999	0	0.9	0	811.3	53.4	70.9	35.9	20.9	73.1	92	54.2	5.8	83.5	98	69.1	57.1	59.4	76.7	42.1	20.5
45	68.96	47315	155915	105035	0.198204	0.290901	0.323956	0.186939	0.326332	0.188898	0.249912	0.142039	0.07624	0.01658	0.763204	0.041467	0.120765	0.053429	0.042862	0.013442	0.103081	0.69335	0.065159	0.120173	0.130001	0.145683	0.259748	0.149128	0.130107	4	2168.399902	382.100006	67.800003	0	0	0	462.7	58.1	72.5	43.8	26.4	78.9	95.2	62.6	4.9	90.4	103.9	76.9	32.2	63.7	77.8	49.7	20
46	86.69	62630	171025	131711	0.112566	0.182564	0.417595	0.287274	0.229873	0.182751	0.193159	0.181161	0.159497	0.053559	0.813604	0.02427	0.128038	0.018074	0.037171	0.031582	0.088525	0.574455	0.139342	0.218042	0.201549	0.133339	0.171659	0.071739	0.06433	4	2145.5	311.399994	51.900002	0	0.1	0	462.7	58.1	72.5	43.8	26.4	78.9	95.2	62.6	4.9	90.4	103.9	76.9	32.2	63.7	77.8	49.7	20
47	40.96	52832	148697	111672	0.147543	0.163424	0.354122	0.334911	0.248996	0.233239	0.174556	0.181638	0.118691	0.042879	0.738038	0.037118	0.171468	0.021256	0.07556	0.063617	0.069372	0.626961	0.164805	0.231753	0.189563	0.132193	0.150155	0.064582	0.066948	4	3682.5	908.200012	139.399994	0	0	0	413.2	58.4	73.9	42.9	23.3	78.3	95.5	61.2	4.5	89.8	103.9	75.6	30.8	63.7	78.9	48.4	18.5
48	1129.6	45582	129926	99438	0.147975	0.180049	0.411237	0.260739	0.234657	0.190378	0.192325	0.17266	0.16424	0.045741	0.737572	0.031877	0.195757	0.01935	0.06507	0.01992	0.048335	0.501629	0.116757	0.197754	0.188101	0.17474	0.195253	0.069786	0.05761	4	207.899994	65.400002	3.9	0	0.5	0	856.9	56.3	71	41.4	16.5	75.9	91.7	60.1	5.6	84.4	97.1	71.7	57.1	61.6	76.3	46.9	17.3
49	23.4	48569	98257	81314	0.089707	0.095452	0.261278	0.553563	0.172436	0.249183	0.159276	0.20081	0.150992	0.067303	0.693035	0.053614	0.192468	0.02691	0.084745	0.159979	0.051447	0.550754	0.308921	0.277708	0.172847	0.099117	0.081698	0.033766	0.025942	4	4385	2522.300049	339.799988	0	0	0	776.9	57.9	71.6	44.1	15.3	77.8	92.8	62.8	4.9	86.4	98.3	74.5	49.7	63.2	76.8	49.7	16.7
50	19.39	41887	104942	89562	0.086065	0.105498	0.227183	0.581254	0.146557	0.45042	0.147453	0.141116	0.091069	0.023384	0.591807	0.034712	0.286461	0.052642	0.137847	0.15537	0.052307	0.548804	0.387829	0.281949	0.153079	0.075823	0.065915	0.017094	0.018311	4	5552.399902	2774.199951	390.200012	0	0	0	790.2	56.6	71.4	41.7	16.8	76.4	92.5	60.3	5.2	85.5	98.2	72.9	51.6	62.1	76.7	47.5	17.9
51	26.65	39518	120001	87006	0.176831	0.218027	0.272585	0.332557	0.274956	0.260606	0.190307	0.150207	0.091741	0.032183	0.214788	0.040387	0.691508	0.013614	0.280556	0.13194	0.033555	0.547008	0.338732	0.300521	0.169088	0.084493	0.077433	0.017283	0.01245	4	3347.300049	1889.5	134.199997	0	0	0	776.9	57.9	71.6	44.1	15.3	77.8	92.8	62.8	4.9	86.4	98.3	74.5	49.7	63.2	76.8	49.7	16.7
52	43.69	46650	117694	90954	0.141779	0.143816	0.320557	0.393848	0.227199	0.261407	0.167349	0.185515	0.115197	0.043333	0.609925	0.055348	0.27925	0.029539	0.120557	0.085295	0.041064	0.597863	0.242615	0.288167	0.200729	0.126452	0.091383	0.03089	0.019764	4	2782.399902	748.5	102.900002	0	0	0	776.9	57.9	71.6	44.1	15.3	77.8	92.8	62.8	4.9	86.4	98.3	74.5	49.7	63.2	76.8	49.7	16.7
53	545.77	79997	203511	155936	0.13953	0.155406	0.345463	0.359601	0.233771	0.23383	0.184147	0.19456	0.120229	0.033463	0.640387	0.289986	0.031251	0.016088	0.037039	0.064702	0.032804	0.589793	0.230746	0.247947	0.176669	0.109754	0.139118	0.046902	0.048864	5	375.899994	143.800003	17.6	0.1	0	0	129.4	45.6	56	35.2	115.4	69.9	80.5	59.3	141.2	78.7	89.2	68.1	101.7	52.2	62.9	41.6	129.1
54	114.68	76535	185171	142069	0.133246	0.149905	0.285294	0.431554	0.232769	0.240092	0.194377	0.187303	0.106286	0.039175	0.497067	0.40929	0.049154	0.022748	0.034873	0.087176	0.043098	0.636465	0.242281	0.251819	0.1697	0.102567	0.10995	0.05634	0.067342	5	1670.5	1592.800049	142.300003	0	0	0	89.5	45.8	56.6	34.9	114.6	70.1	81	59.1	140.4	78.9	89.6	68.2	97.6	52.3	63.4	41.1	129.3
55	16.62	36660	129270	100298	0.144108	0.245417	0.396727	0.213748	0.22412	0.25422	0.192171	0.180753	0.103497	0.045239	0.089143	0.010993	0.784806	0.109111	0.325014	0.070104	0.024748	0.599872	0.188871	0.210966	0.19258	0.134097	0.163257	0.068822	0.041408	6	8134.100098	2713.399902	303.100006	0	0	1	95.6	55.8	66.1	45.5	57.9	64.7	75.3	54.1	11.9	72	83.3	60.7	1.6	59.8	70.6	49	36.4
56	14.08	35207	144381	102960	0.224132	0.299827	0.327066	0.148976	0.286887	0.277266	0.197339	0.151391	0.066955	0.020162	0.029966	0.011844	0.949016	0.007981	0.211549	0.076973	0.022399	0.605313	0.243815	0.313773	0.198568	0.110915	0.090493	0.028716	0.013719	6	10448	6250.5	596.200012	0	0	1	106	55.1	65.7	44.5	79.4	64.7	76.2	53.1	17.4	72.4	84.9	59.9	1.6	59.1	70.3	47.9	49.2
57	43.94	34448	112352	90570	0.145437	0.199547	0.476602	0.178414	0.193873	0.219088	0.185257	0.227045	0.13787	0.036866	0.183726	0.030074	0.190896	0.579714	0.102996	0.035125	0.058964	0.587601	0.119833	0.157484	0.15162	0.132054	0.197109	0.10677	0.135131	6	2747.899902	1680.5	213.199997	0	0.1	1	87.9	57.1	67.4	46.9	62.5	66	76.4	55.6	12.1	73.9	85.1	62.7	1.9	61.3	72.1	50.5	38.9
58	11.58	30920	130580	92303	0.243952	0.285446	0.307439	0.163163	0.293131	0.268762	0.2034	0.150751	0.066917	0.017039	0.013875	0.051229	0.929754	0.004981	0.373933	0.11229	0.026347	0.603242	0.255466	0.299677	0.186158	0.114683	0.100776	0.030563	0.012678	6	11369.7002	5302.899902	310.600006	0	0	1	153.9	55.2	65.6	44.8	60.1	66.1	77.2	55	13.4	74.6	86.6	62.5	1.8	59.3	70.2	48.4	37.3
59	7.18	30759	118439	86236	0.202672	0.260509	0.349264	0.187555	0.271895	0.26948	0.200466	0.154569	0.078082	0.025507	0.029715	0.003446	0.949998	0.015053	0.530186	0.107058	0.01909	0.595911	0.233818	0.300205	0.189798	0.119672	0.113268	0.027244	0.015995	6	16510.5	2513.5	275.5	0	0	1	137.3	55.9	66.5	45.4	54.6	66.1	77	55.2	11.1	74.3	86.1	62.5	1.8	60	71.1	48.9	34.7
