zone	zone_sqm	hholds	persons	adults	ffamcu6	ffamc6p	famnoc	fnonfam	fage017	fage1834	fage3549	fage5064	fage6579	fage80up	fwhite	fblack	fhisp	asian	fothrc	f0veh	fwathome	femployed	fincu25	finc2550	finc5075	finc75100	finc100150	finc150200	finco200	state	popden	empden	enteden	fracwater	fracprotl	coast	elevation	avgtemp1	maxtemp1	mintemp1	avgprec1	avgtemp2	maxtemp2	mintemp2	avgprec2	avgtemp3	maxtemp3	mintemp3	avgprec3	avgtemp4	maxtemp4	mintemp4	avgprec4
3470	329.53	2297	5110	4155	0.110144	0.154549	0.361776	0.373531	0.186888	0.217025	0.141096	0.242074	0.178082	0.034834	0.996953	0	0	0	0.003047	0.078363	0.023555	0.561974	0.199826	0.278189	0.14323	0.174576	0.126252	0.067915	0.010013	51	34.799999	4.3	0.3	0	0.6	0	352.7	39.6	50.8	28.5	74.1	63.8	76	51.7	123.8	72.7	83.7	61.7	110.5	47.6	58.8	36.4	91.6
3471	753.04	31317	78376	62573	0.110387	0.164096	0.447105	0.278411	0.201631	0.173471	0.175373	0.241005	0.160674	0.047846	0.902098	0.061756	0.015902	0.009388	0.013826	0.032059	0.044971	0.579963	0.165597	0.217965	0.193409	0.157901	0.154772	0.055082	0.055273	51	109.5	26.9	2.3	0	0.1	0	307.9	40.7	51.6	29.8	78.5	64.9	76.7	53.1	109.4	73.6	84.3	62.8	98.4	48.2	59.1	37.2	94.1
3472	904.41	22369	66290	49829	0.158702	0.20068	0.394027	0.246591	0.248318	0.203817	0.190119	0.209142	0.117212	0.031392	0.833073	0.0038	0.144083	0.003174	0.03259	0.034289	0.053482	0.592506	0.160669	0.215209	0.192186	0.14377	0.171621	0.060262	0.056283	48	74.199997	22.4	1.8	0	0	0	257.4	50.1	62.3	37.8	64.7	72.7	83.8	61.6	108.7	82.5	93.7	71.3	74.1	56	68.3	43.7	66.7
3473	603.94	12625	35163	27462	0.11303	0.13996	0.428119	0.318891	0.219009	0.210733	0.154196	0.206296	0.148395	0.061371	0.734891	0.15699	0.093465	0.009426	0.015208	0.051644	0.04322	0.556915	0.210218	0.242772	0.188436	0.109228	0.138535	0.045861	0.06495	48	58.200001	25.200001	2.2	0	0	0	88.2	55.2	66.7	43.4	88.9	74.8	85.6	63.9	115.3	82.8	93.7	72	89.6	60.6	72.7	48.5	95.6
3474	2264.56	1054	2241	1865	0.071157	0.055977	0.449715	0.42315	0.167782	0.10888	0.138331	0.244534	0.298527	0.041946	0.741935	0	0.258065	0	0.002846	0.009488	0.026631	0.402681	0.188805	0.296015	0.201139	0.220114	0.08444	0.005693	0.003795	48	1	0.5	0.1	0	0	0	2069.6	48.1	60.7	35.3	12	66.5	80.3	52.8	36.1	70.5	82.7	58.4	92.1	52.8	65	40.7	20.7
3475	273.31	45460	123443	91508	0.15143	0.169402	0.330884	0.348284	0.258702	0.232561	0.177791	0.180132	0.108811	0.042003	0.636472	0.210097	0.125077	0.010185	0.028113	0.065618	0.032127	0.593893	0.230444	0.267334	0.184074	0.121931	0.11399	0.046612	0.035614	48	454.100006	278.799988	27.4	0	0	0	134.9	52.3	63.8	40.8	110.9	73.8	84.8	62.8	114.1	82.6	93.5	71.7	81.6	57.9	69.7	46.1	109.6
3476	427.82	47175	124823	100018	0.098442	0.197477	0.436248	0.267833	0.198721	0.176882	0.181601	0.264182	0.139133	0.03948	0.900583	0.012803	0.048479	0.032369	0.014414	0.033577	0.089885	0.653382	0.077965	0.113153	0.122607	0.111012	0.201632	0.136704	0.236926	34	334.799988	126	12.8	0	0.1	0	76.4	33.8	43.1	24.4	92.7	60.9	72.1	49.6	118.7	71.7	82.8	60.6	119.2	44.8	54.3	35.2	108.2
3477	981.75	895	2312	1797	0.127374	0.131844	0.351955	0.388827	0.222751	0.155709	0.153114	0.201557	0.160035	0.106834	1	0	0	0	0	0.026816	0.116496	0.597106	0.177654	0.293855	0.178771	0.165363	0.134078	0.041341	0.008939	46	2.4	0.6	0.1	0	0	0	486.8	20.6	30.7	10.5	19.6	55.5	67.8	43.2	69.5	67.8	80.8	54.8	60.8	32.4	43.3	21.5	24
3478	526.23	921	2018	1594	0.086862	0.150923	0.383279	0.378936	0.210109	0.129336	0.149653	0.214569	0.189792	0.106541	0.964169	0	0.021716	0	0.026059	0.035831	0.087568	0.580301	0.176982	0.325733	0.140065	0.127036	0.141151	0.034745	0.054289	46	3.9	2.5	0.1	0	0	0	522.7	22.7	32.2	13.1	22.1	56.3	67.2	45.3	86.3	69.1	80.4	57.7	81.7	34	44	24	31.3
3479	807.13	76819	188674	140957	0.147555	0.167133	0.305016	0.380297	0.252907	0.248126	0.187949	0.183687	0.096505	0.030826	0.881175	0.044676	0.033351	0.014671	0.036632	0.055247	0.037415	0.732479	0.164894	0.233185	0.195121	0.153061	0.158086	0.055156	0.040498	46	232.899994	156	16.6	0	0	0	438.3	24.1	33.5	14.6	26.5	58.9	69.9	47.9	94.9	70.3	81.2	59.5	82.8	35.5	45.6	25.2	40.6
